,IncGeo_WardName,DelayCodeId,tmoyCodeId,tmedCodeId,tstdCodeId,tminCodeId,tmaxCodeId
248,WEST HAM,0.0,236.97938144329896,236.0,53.887997152551534,117.0,352.0
249,WEST HAM,7.0,414.5,414.5,54.44722215136416,376.0,453.0
250,WEST HAM,13.0,468.0,468.0,0.0,468.0,468.0
251,CANNING TOWN NORTH,12.0,449.3255813953488,420.0,77.955335481358,366.0,667.0
252,CANNING TOWN NORTH,7.0,483.0,483.0,0.0,483.0,483.0
253,CANNING TOWN NORTH,0.0,272.4247311827957,275.0,74.94197561705194,37.0,872.0
254,CANNING TOWN NORTH,8.0,399.0,395.0,20.165977949672232,380.0,426.0
255,CANNING TOWN NORTH,9.0,466.625,418.5,125.91683763500416,364.0,784.0
256,CANNING TOWN NORTH,13.0,441.0,441.0,0.0,441.0,441.0
257,CANNING TOWN NORTH,5.0,590.125,533.5,171.22953475212321,379.0,911.0
258,CANNING TOWN NORTH,11.0,447.0,447.0,0.0,447.0,447.0
259,HOXTON WEST,0.0,219.59154929577466,223.0,82.2911153411946,5.0,359.0
260,HOXTON WEST,12.0,540.9333333333333,559.0,163.74957651708235,368.0,949.0
261,HOXTON WEST,9.0,458.2352941176471,413.0,129.05160276598886,364.0,896.0
262,HOXTON WEST,8.0,390.0,390.0,0.0,390.0,390.0
263,HOXTON WEST,5.0,531.5,531.5,47.37615433949868,498.0,565.0
264,HOXTON WEST,13.0,402.0,402.0,18.384776310850235,389.0,415.0
265,HOXTON WEST,11.0,367.0,367.0,0.0,367.0,367.0
266,KENTON WEST,12.0,462.52941176470586,420.0,105.63742095433017,363.0,745.0
267,KENTON WEST,0.0,295.42857142857144,303.0,62.55763057259396,91.0,359.0
268,KENTON WEST,5.0,923.0,923.0,0.0,923.0,923.0
269,KENTON WEST,9.0,435.0,442.5,52.22387704233891,365.0,490.0
270,LEWISHAM CENTRAL,0.0,201.52100840336135,190.0,67.54006776121986,2.0,360.0
271,LEWISHAM CENTRAL,11.0,673.0,688.0,32.2335229225724,636.0,695.0
272,LEWISHAM CENTRAL,12.0,487.38461538461536,410.0,155.39577263827405,361.0,912.0
273,LEWISHAM CENTRAL,9.0,466.0,479.0,53.77964298877411,389.0,549.0
274,LEWISHAM CENTRAL,7.0,372.0,372.0,0.0,372.0,372.0
275,LEWISHAM CENTRAL,13.0,485.0,485.0,0.0,485.0,485.0
276,LEWISHAM CENTRAL,8.0,370.0,370.0,0.0,370.0,370.0
277,BISHOP'S,0.0,243.92165898617512,246.0,56.85913670523546,109.0,358.0
278,BISHOP'S,12.0,470.8965517241379,449.0,92.93713114158186,370.0,779.0
279,BISHOP'S,9.0,441.875,411.5,78.3963221926471,362.0,627.0
280,BISHOP'S,5.0,393.0,393.0,31.11269837220809,371.0,415.0
281,BISHOP'S,11.0,386.0,386.0,0.0,386.0,386.0
282,BISHOP'S,7.0,418.0,418.0,0.0,418.0,418.0
283,WEST HENDON,0.0,257.0211267605634,263.0,65.1012815193295,3.0,359.0
284,WEST HENDON,12.0,539.7894736842105,537.0,180.3458341161252,362.0,1065.0
285,WEST HENDON,13.0,488.0,488.0,0.0,488.0,488.0
286,WEST HENDON,9.0,480.375,396.5,179.3264680487996,382.0,899.0
287,WEST HENDON,7.0,485.0,485.0,0.0,485.0,485.0
288,WEST HENDON,5.0,476.375,448.5,87.77395887814824,392.0,638.0
289,WEST HENDON,8.0,377.0,377.0,0.0,377.0,377.0
290,FOREST GATE SOUTH,0.0,195.48344370860926,187.0,69.78183663434068,5.0,356.0
291,FOREST GATE SOUTH,8.0,468.0,468.0,74.95331880577403,415.0,521.0
292,FOREST GATE SOUTH,12.0,438.1666666666667,420.0,61.28448318120892,377.0,561.0
293,FOREST GATE SOUTH,5.0,493.0,457.0,101.88719252192594,414.0,608.0
294,FOREST GATE SOUTH,9.0,442.25,443.0,58.66500944629033,370.0,513.0
295,FOREST GATE SOUTH,13.0,365.0,365.0,0.0,365.0,365.0
296,LEYTON,0.0,204.39523809523808,194.5,72.25189175643244,7.0,358.0
297,LEYTON,6.0,388.0,388.0,0.0,388.0,388.0
298,LEYTON,13.0,417.0,417.0,0.0,417.0,417.0
299,LEYTON,9.0,429.5,426.0,57.979881568235946,366.0,500.0
300,LEYTON,12.0,449.5833333333333,393.5,120.24101428028423,363.0,776.0
301,LEYTON,8.0,677.5,677.5,423.556961930742,378.0,977.0
302,LEYTON,5.0,509.75,519.0,150.71468630052834,360.0,641.0
303,LEYTON,11.0,1001.0,1001.0,0.0,1001.0,1001.0
304,WALL END,0.0,271.07272727272726,264.0,57.86601847609782,145.0,462.0
305,WALL END,5.0,399.25,398.0,22.735801430050067,373.0,428.0
306,WALL END,12.0,448.1111111111111,418.5,100.12280041728106,362.0,736.0
